pick_id,game_date,player,team,opponent,stat,line,direction,probability,tier,actual_value,outcome,added_utc,league,source
20260129_al_horford_pra_over,2026-01-29,Al Horford,,,PRA,9.5,OVER,0.55,USER,20,HIT,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260129_bam_adebayo_reb_ast_over,2026-01-29,Bam Adebayo,,,REB+AST,11.5,OVER,0.55,USER,15,HIT,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260129_jimmy_butler_pts_over,2026-01-29,Jimmy Butler,,,PTS,19.5,OVER,0.55,USER,17,MISS,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260129_norman_powell_3pm_over,2026-01-29,Norman Powell,,,3PM,2.5,OVER,0.55,USER,2,MISS,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260129_jalen_johnson_ast_under,2026-01-29,Jalen Johnson,,,AST,7.5,UNDER,0.55,USER,6,HIT,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260129_kevin_porter_pra_under,2026-01-29,Kevin Porter,,,PRA,28.5,UNDER,0.55,USER,22,HIT,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260129_nickeil_alexander-walker_pts_over,2026-01-29,Nickeil Alexander-Walker,,,PTS,19.5,OVER,0.55,USER,32,HIT,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260128_jaylen_brown_3pm_over,2026-01-28,Jaylen Brown,,,3PM,1.0,OVER,0.55,USER,1,HIT,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260128_jaden_mcdaniels_pts_ast_over,2026-01-28,Jaden McDaniels,,,PTS+AST,16.5,OVER,37.0,USER,17,HIT,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260128_matas_buzelis_3pm_over,2026-01-28,Matas Buzelis,,,3PM,1.5,OVER,67.7,USER,2,HIT,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260128_marcus_smart_pts_over,2026-01-28,Marcus Smart,,,PTS,9.5,OVER,0.55,USER,12,HIT,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260128_amen_thompson_pts_ast_under,2026-01-28,Amen Thompson,,,PTS+AST,23.5,UNDER,0.55,USER,22,HIT,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260128_rudy_gobert_reb_under,2026-01-28,Rudy Gobert,,,REB,11.5,UNDER,0.55,USER,17,MISS,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260128_alperen_sengun_pts_ast_under,2026-01-28,Alperen Sengun,,,PTS+AST,25.5,UNDER,0.55,USER,39,MISS,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260128_domantas_sabonis_pra_under,2026-01-28,Domantas Sabonis,,,PRA,31.5,UNDER,0.55,USER,30,HIT,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260128_kyle_kuzma_reb_under,2026-01-28,Kyle Kuzma,,,REB,5.5,UNDER,0.55,USER,8,MISS,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260128_ryan_rollins_pra_under,2026-01-28,Ryan Rollins,,,PRA,32.5,UNDER,0.55,USER,36,MISS,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260128_aaron_wiggins_reb_over,2026-01-28,Aaron Wiggins,,,REB,3.5,OVER,0.55,USER,5,HIT,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260128_jaden_ivey_3pm_over,2026-01-28,Jaden Ivey,,,3PM,1.5,OVER,0.55,USER,2,HIT,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260128_kelly_oubre_jr._reb_under,2026-01-28,Kelly Oubre Jr.,,,REB,5.5,UNDER,0.55,USER,4,HIT,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260128_bobby_portis_reb_under,2026-01-28,Bobby Portis,,,REB,8.5,UNDER,0.55,USER,12,MISS,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260128_tobias_harris_3pm_over,2026-01-28,Tobias Harris,,,3PM,1.5,OVER,0.55,USER,0,MISS,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260128_duncan_robinson_3pm_over,2026-01-28,Duncan Robinson,,,3PM,2.5,OVER,0.55,USER,0,MISS,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260128_isaiah_collier_pts_under,2026-01-28,Isaiah Collier,,,PTS,13.5,UNDER,0.55,USER,12,HIT,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260128_isaiah_stewart_pts_under,2026-01-28,Isaiah Stewart,,,PTS,7.5,UNDER,0.55,USER,7,HIT,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260128_jonas_valanciunas_pts_under,2026-01-28,Jonas Valanciunas,,,PTS,12.5,UNDER,0.55,USER,16,MISS,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260128_kyle_filipowski_pts_ast_under,2026-01-28,Kyle Filipowski,,,PTS+AST,15.5,UNDER,0.55,USER,10,HIT,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260128_kris_dunn_pts_ast_under,2026-01-28,Kris Dunn,,,PTS+AST,9.5,UNDER,0.55,USER,16,MISS,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260128_lauri_markkanen_pts_ast_over,2026-01-28,Lauri Markkanen,,,PTS+AST,25.5,OVER,42.4,USER,23,MISS,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260128_jonas_valanciunas_ast_reb_under,2026-01-28,Jonas Valanciunas,,,AST+REB,10.5,UNDER,0.55,USER,17,MISS,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
20260128_jeremiah_fears_reb_over,2026-01-28,Jeremiah Fears,,,REB,2.5,OVER,0.55,USER,2,MISS,2026-01-30T03:31:49.700515,NBA,user_results_jan28-29
mc_456935f2,2026-01-29,Isaiah Hartenstein,,,rebounds,6.5,higher,76.0308,STRONG,,,2026-01-30T04:32:30.784196,NBA,THUREND_RISK_FIRST_20260129_FROM_UD.json
FEB01-01,2026-02-01,Isaac Okoro,CLE,,3pm,1.5,lower,65.0,STRONG,1,hit,2026-02-04T00:00:00Z,nba,sleeper
FEB01-02,2026-02-01,Ayo Dosunmu,CHI,,3pm,1.5,higher,62.0,STRONG,2,hit,2026-02-04T00:00:00Z,nba,sleeper
FEB01-03,2026-02-01,Jaylen Brown,BOS,,3pm,2.5,lower,64.0,STRONG,2,hit,2026-02-04T00:00:00Z,nba,sleeper
FEB01-04,2026-02-01,Shai Gilgeous-Alexander,OKC,,3pm,1.5,lower,68.0,STRONG,1,hit,2026-02-04T00:00:00Z,nba,sleeper
FEB01-05,2026-02-01,Jackson LaCombe,ANA,,points,0.5,higher,58.0,LEAN,1,hit,2026-02-04T00:00:00Z,nhl,sleeper
FEB01-06,2026-02-01,Jordan Eberle,SEA,,points,0.5,higher,60.0,LEAN,1,hit,2026-02-04T00:00:00Z,nhl,sleeper
FEB01-07,2026-02-01,Cale Makar,COL,,blocks,1.5,higher,59.0,LEAN,2,hit,2026-02-04T00:00:00Z,nhl,sleeper
FEB01-08,2026-02-01,William Nylander,TOR,,sog,2.5,higher,62.0,STRONG,3,hit,2026-02-04T00:00:00Z,nhl,sleeper
FEB01-09,2026-02-02,Novak Djokovic,,,games_won,18.5,lower,66.0,STRONG,16,hit,2026-02-04T00:00:00Z,tennis,sleeper
FEB01-10,2026-02-02,Carlos Alcaraz,,,aces,10.5,lower,64.0,STRONG,8,hit,2026-02-04T00:00:00Z,tennis,sleeper
FEB02-01,2026-02-02,Coby White,CHI,,pra,30.5,higher,58.0,LEAN,34,miss,2026-02-04T00:00:00Z,nba,sleeper
FEB02-03,2026-02-02,Naji Marshall,DAL,,pra,27.5,higher,55.0,LEAN,22,miss,2026-02-04T00:00:00Z,nba,sleeper
FEB03-02,2026-02-03,Duncan Robinson,MIA,,pra,14.5,higher,54.0,LEAN,12,miss,2026-02-04T00:00:00Z,nba,sleeper
FEB03-03,2026-02-03,Deni Avdija,POR,,pra,35.5,higher,55.0,LEAN,28,miss,2026-02-04T00:00:00Z,nba,sleeper
FEB02-02,2026-02-02,Matas Buzelis,CHI,,3pm,2.5,lower,60.0,LEAN,5,miss,2026-02-04T00:00:00Z,nba,sleeper
